Saison ;Compagnie Operating ;Numéro de vol ;Compagnie Marketing;Numéro de vol Marketing;Aéroport de départ ;Aéroport d'arrivée;Jour de départ en Local;Jour d'arrivée  en Local;Heure de départ en Local;Heure d'arrivée en Local;Date de début de période ;Date de fin  de période ;Compagnie propriétaire ;Type Avion
S19;KL;421;AF;8368;AMS;DMM;1;1;9:15;15:25;;;KL;332
S19;KL;421;AF;8368;AMS;DMM;2;2;9:15;15:25;;;KL;332
S19;KL;421;AF;8368;AMS;DMM;4;4;9:15;15:25;;;KL;332
S19;KL;421;AF;8368;AMS;DMM;6;6;9:15;15:25;;;KL;332
S19;KL;421;AF;8368;AMS;DMM;3;3;9:20;15:25;;;KL;332
S19;KL;421;AF;8368;DMM;MCT;1;1;16:15;18:05;;;KL;332
S19;KL;421;AF;8368;DMM;MCT;2;2;16:15;18:05;;;KL;332
S19;KL;421;AF;8368;DMM;MCT;3;3;16:15;18:05;;;KL;332
S19;KL;421;AF;8368;DMM;MCT;4;4;16:15;18:05;;;KL;332
S19;KL;421;AF;8368;DMM;MCT;6;6;16:15;18:05;;;KL;332
S19;KL;422;AF;8372;MCT;DMM;1;1;19:35;21:20;;;KL;332
S19;KL;422;AF;8372;MCT;DMM;2;2;19:35;21:20;;;KL;332
S19;KL;422;AF;8372;MCT;DMM;3;3;19:35;21:20;;;KL;332
S19;KL;422;AF;8372;MCT;DMM;4;4;19:35;21:20;;;KL;332
S19;KL;422;AF;8372;MCT;DMM;6;6;19:35;21:20;;;KL;332
S19;KL;422;AF;8372;DMM;AMS;1;2;22:25;5:00;;;KL;332
S19;KL;422;AF;8372;DMM;AMS;2;3;22:25;5:00;;;KL;332
S19;KL;422;AF;8372;DMM;AMS;3;4;22:25;5:00;;;KL;332
S19;KL;422;AF;8372;DMM;AMS;4;5;22:25;5:00;;;KL;332
S19;KL;422;AF;8372;DMM;AMS;6;7;22:25;5:00;;;KL;332
S19;KL;427;AF;8423;AMS;DXB;1;1;12:30;19:05;;;KL;772
S19;KL;427;AF;8423;AMS;DXB;2;2;12:30;19:05;;;KL;772
S19;KL;427;AF;8423;AMS;DXB;4;4;12:30;19:05;;;KL;772
S19;KL;427;AF;8423;AMS;DXB;6;6;12:30;19:05;;;KL;772
S19;KL;427;AF;8423;AMS;DXB;3;3;12:30;19:05;;;KL;781
S19;KL;427;AF;8423;AMS;DXB;5;5;12:30;19:05;;;KL;781
S19;KL;427;AF;8423;AMS;DXB;7;7;12:30;19:05;;;KL;781
S19;KL;428;AF;8422;DXB;AMS;1;2;20:40;3:35;;;KL;772
S19;KL;428;AF;8422;DXB;AMS;2;3;20:40;3:35;;;KL;772
S19;KL;428;AF;8422;DXB;AMS;4;5;20:40;3:35;;;KL;772
S19;KL;428;AF;8422;DXB;AMS;6;7;20:40;3:35;;;KL;772
S19;KL;428;AF;8422;DXB;AMS;3;4;20:40;3:35;;;KL;781
S19;KL;428;AF;8422;DXB;AMS;5;6;20:40;3:35;;;KL;781
S19;KL;428;AF;8422;DXB;AMS;7;1;20:40;3:35;;;KL;781
S19;KL;445;AF;8290;AMS;KWI;2;2;12:10;18:00;;;KL;332
S19;KL;445;AF;8290;AMS;KWI;3;3;12:10;18:00;;;KL;332
S19;KL;445;AF;8290;AMS;KWI;4;4;12:10;18:00;;;KL;332
S19;KL;445;AF;8290;AMS;KWI;5;5;12:10;18:00;;;KL;332
S19;KL;445;AF;8290;AMS;KWI;6;6;12:10;18:00;;;KL;332
S19;KL;445;AF;8290;AMS;KWI;7;7;12:10;18:00;;;KL;332
S19;KL;445;AF;8290;KWI;BAH;2;2;19:10;20:20;;;KL;332
S19;KL;445;AF;8290;KWI;BAH;3;3;19:10;20:20;;;KL;332
S19;KL;445;AF;8290;KWI;BAH;4;4;19:10;20:20;;;KL;332
S19;KL;445;AF;8290;KWI;BAH;5;5;19:10;20:20;;;KL;332
S19;KL;445;AF;8290;KWI;BAH;6;6;19:10;20:20;;;KL;332
S19;KL;445;AF;8290;KWI;BAH;7;7;19:10;20:20;;;KL;332
S19;KL;446;AF;8413;BAH;KWI;2;2;21:30;22:45;;;KL;332
S19;KL;446;AF;8413;BAH;KWI;3;3;21:30;22:45;;;KL;332
S19;KL;446;AF;8413;BAH;KWI;4;4;21:30;22:45;;;KL;332
S19;KL;446;AF;8413;BAH;KWI;5;5;21:30;22:45;;;KL;332
S19;KL;446;AF;8413;BAH;KWI;6;6;21:30;22:45;;;KL;332
S19;KL;446;AF;8413;BAH;KWI;7;7;21:30;22:45;;;KL;332
S19;KL;446;AF;8413;KWI;AMS;1;1;0:10;6:20;;;KL;332
S19;KL;446;AF;8413;KWI;AMS;3;3;0:10;6:20;;;KL;332
S19;KL;446;AF;8413;KWI;AMS;4;4;0:10;6:20;;;KL;332
S19;KL;446;AF;8413;KWI;AMS;5;5;0:10;6:20;;;KL;332
S19;KL;446;AF;8413;KWI;AMS;6;6;0:10;6:20;;;KL;332
S19;KL;446;AF;8413;KWI;AMS;7;7;0:10;6:20;;;KL;332
S19;KL;451;AF;5198;AMS;AUH;1;1;9:15;16:05;;;KL;332
S19;KL;451;AF;5198;AMS;AUH;3;3;9:15;16:05;;;KL;332
S19;KL;451;AF;5198;AMS;AUH;4;4;9:15;16:05;;;KL;332
S19;KL;451;AF;5198;AMS;AUH;5;5;9:15;16:05;;;KL;332
S19;KL;451;AF;5198;AMS;AUH;7;7;9:15;16:05;;;KL;332
S19;KL;452;AF;2240;AUH;AMS;1;2;22:05;5:05;;;KL;332
S19;KL;452;AF;2240;AUH;AMS;4;5;22:05;5:05;;;KL;332
S19;KL;452;AF;2240;AUH;AMS;5;6;22:05;5:05;;;KL;332
S19;KL;452;AF;2240;AUH;AMS;7;1;22:05;5:05;;;KL;332
S19;KL;452;AF;2240;AUH;AMS;3;4;22:05;5:20;;;KL;332
S19;KL;461;AF;8425;AMS;TLV;1;1;19:05;23:35;;;KL;73J
S19;KL;461;AF;8425;AMS;TLV;2;2;19:05;23:35;;;KL;73J
S19;KL;461;AF;8425;AMS;TLV;3;3;19:05;23:35;;;KL;73J
S19;KL;461;AF;8425;AMS;TLV;4;4;19:05;23:35;;;KL;73J
S19;KL;461;AF;8425;AMS;TLV;5;5;19:05;23:35;;;KL;73J
S19;KL;461;AF;8425;AMS;TLV;6;6;19:05;23:35;;;KL;73J
S19;KL;461;AF;8425;AMS;TLV;7;7;19:05;23:35;;;KL;73J
S19;KL;462;AF;8424;TLV;AMS;1;1;1:45;6:45;;;KL;73J
S19;KL;462;AF;8424;TLV;AMS;2;2;1:45;6:45;;;KL;73J
S19;KL;462;AF;8424;TLV;AMS;3;3;1:45;6:45;;;KL;73J
S19;KL;462;AF;8424;TLV;AMS;4;4;1:45;6:45;;;KL;73J
S19;KL;462;AF;8424;TLV;AMS;5;5;1:45;6:45;;;KL;73J
S19;KL;462;AF;8424;TLV;AMS;6;6;1:45;6:45;;;KL;73J
S19;KL;462;AF;8424;TLV;AMS;7;7;1:45;6:45;;;KL;73J
S19;KL;535;AF;8251;AMS;KGL;5;5;9:20;17:40;;;KL;332
S19;KL;535;AF;8251;AMS;KGL;7;7;9:20;17:40;;;KL;332
S19;KL;535;AF;8251;EBB;AMS;5;6;20:59;5:25;;;KL;332
S19;KL;535;AF;8251;EBB;AMS;7;1;20:59;5:25;;;KL;332
S19;KL;535;AF;8251;AMS;KGL;3;3;9:20;17:40;;;KL;333
S19;KL;535;AF;8251;EBB;AMS;3;4;20:59;5:25;;;KL;333
S19;KL;537;AF;8253;AMS;KGL;1;1;9:20;17:40;;;KL;333
S19;KL;537;AF;8253;AMS;KGL;6;6;9:20;17:40;;;KL;333
