Saison ;Compagnie Operating ;Numéro de vol ;Compagnie Marketing;Numéro de vol Marketing;Aéroport de départ ;Aéroport d'arrivée;Jour de départ en Local;Jour d'arrivée  en Local;Heure de départ en Local;Heure d'arrivée en Local;Date de début de période ;Date de fin  de période ;Compagnie propriétaire ;Type Avion
W19;KL;421;AF;8368;AMS;DMM;4;4;09:30;15:30;;;KL;332
W19;A9;627;AF;3031;TBS;CDG;5;5;09:00;11:00;;;A9;737
W19;A9;628;AF;3030;CDG;TBS;2;2;12:00;19:30;;;A9;737
W19;A9;651;KL;3109;TBS;AMS;6;6;06:30;08:30;;;A9;737
W19;A9;652;KL;3108;AMS;TBS;1;1;10:20;17:50;;;A9;737
W19;A9;651;KL;3109;TBS;AMS;1;1;07:00;09:00;;;A9;737
W19;A9;652;KL;3108;AMS;TBS;6;6;10:20;17:50;;;A9;737
W19;A9;627;AF;3031;TBS;CDG;2;2;09:00;11:00;;;A9;737
W19;A9;628;AF;3030;CDG;TBS;5;5;12:00;19:30;;;A9;737
W19;AF;1028;;;CDG;BLQ;1;1;21:15;22:55;;;AF;318
W19;AF;1029;;;BLQ;CDG;1;1;07:00;08:50;;;AF;318
W19;AF;1048;;;CDG;BCN;1;1;17:00;18:40;;;AF;318
W19;AF;1049;KL;3161;BCN;CDG;1;1;19:35;21:35;;;AF;318
W19;AF;1050;KL;3165;CDG;CPH;1;1;17:40;19:35;;;AF;318
W19;AF;1051;;;CPH;CDG;1;1;20:20;22:20;;;AF;318
W19;AF;1064;KL;8348;CDG;BHX;1;1;13:40;14:00;;;AF;318
W19;AF;1065;;;BHX;CDG;1;1;14:45;17:05;;;AF;318
W19;AF;1068;;;CDG;MAN;1;1;13:30;14:00;;;AF;318
W19;AF;1069;KL;8349;MAN;CDG;1;1;14:45;17:10;;;AF;318
W19;AF;1080;;;CDG;LHR;1;1;18:00;18:20;;;AF;318
W19;AF;1114;;;CDG;ZRH;1;1;07:30;08:50;;;AF;318
W19;AF;1115;;;ZRH;CDG;1;1;09:40;11:05;;;AF;318
W19;AF;1122;;;CDG;MUC;1;1;20:45;22:20;;;AF;318
W19;AF;1123;;;MUC;CDG;1;1;07:10;09:00;;;AF;318
W19;AF;1142;;;CDG;GVA;1;1;15:00;16:15;;;AF;318
W19;AF;1143;;;GVA;CDG;1;1;17:05;18:20;;;AF;318
W19;AF;1178;KL;2154;CDG;NAP;1;1;09:15;11:30;;;AF;318
W19;AF;1179;KL;2155;NAP;CDG;1;1;12:20;14:45;;;AF;318
W19;AF;1181;KL;8497;LHR;CDG;1;1;19:50;22:10;;;AF;318
W19;AF;1212;KL;8310;CDG;LIN;1;1;07:20;08:55;;;AF;318
W19;AF;1213;;;LIN;CDG;1;1;09:50;11:25;;;AF;318
W19;AF;1223;KL;8223;NCE;BOD;1;1;11:40;13:05;;;AF;318
W19;AF;1226;;;CDG;VCE;1;1;15:40;17:15;;;AF;318
W19;AF;1227;KL;8227;VCE;CDG;1;1;18:05;19:55;;;AF;318
W19;AF;1230;KL;8230;CDG;MXP;1;1;17:05;18:35;;;AF;318
W19;AF;1231;;;MXP;CDG;1;1;19:25;20:55;;;AF;318
W19;AF;1252;KL;2451;CDG;BGO;1;1;14:30;16:45;;;AF;318
W19;AF;1253;KL;2452;BGO;CDG;1;1;17:35;20:00;;;AF;318
W19;AF;1260;;;MRS;BOD;1;1;06:25;07:35;;;AF;318
W19;AF;1261;;;BOD;MRS;1;1;08:20;09:25;;;AF;318
W19;AF;1326;KL;8222;CDG;VCE;1;1;21:15;22:55;;;AF;318
W19;AF;1330;;;CDG;MXP;1;1;12:25;13:50;;;AF;318
W19;AF;1331;;;MXP;CDG;1;1;14:40;16:10;;;AF;318
W19;AF;1366;KL;2126;CDG;FLR;1;1;09:30;11:15;;;AF;318
W19;AF;1367;KL;2129;FLR;CDG;1;1;12:00;13:50;;;AF;318
W19;AF;1376;KL;2170;CDG;BIO;1;1;20:50;22:25;;;AF;318
W19;AF;1377;KL;2163;BIO;CDG;1;1;07:15;09:05;;;AF;318
W19;AF;1414;KL;8316;CDG;ZRH;1;1;20:50;22:10;;;AF;318
W19;AF;1415;KL;8319;ZRH;CDG;1;1;06:45;08:05;;;AF;318
W19;AF;1428;;;CDG;BLQ;1;1;12:15;13:50;;;AF;318
W19;AF;1429;;;BLQ;CDG;1;1;14:40;16:30;;;AF;318
W19;AF;1434;;;CDG;TXL;1;1;07:20;09:10;;;AF;318
W19;AF;1435;;;TXL;CDG;1;1;10:05;11:55;;;AF;318
W19;AF;1476;KL;2160;CDG;BIO;1;1;09:55;11:30;;;AF;318
W19;AF;1477;KL;2161;BIO;CDG;1;1;12:15;14:00;;;AF;318
W19;AF;1513;;;BOD;LYS;1;1;14:00;15:10;;;AF;318
W19;AF;1514;KL;3193;LYS;BOD;1;1;20:15;21:25;;;AF;318
W19;AF;1515;KL;8380;BOD;LYS;1;1;18:20;19:30;;;AF;318
W19;AF;1542;;;CDG;GVA;1;1;07:05;08:15;;;AF;318
W19;AF;1543;;;GVA;CDG;1;1;09:00;10:15;;;AF;318
W19;AF;1560;KL;2204;CDG;ZAG;1;1;15:10;17:05;;;AF;318
W19;AF;1561;KL;2205;ZAG;CDG;1;1;17:50;20:00;;;AF;318
W19;AF;1566;KL;2130;CDG;FLR;1;1;12:40;14:25;;;AF;318
W19;AF;1567;KL;2133;FLR;CDG;1;1;15:10;17:00;;;AF;318
W19;AF;1576;KL;2166;CDG;BIO;1;1;15:45;17:20;;;AF;318
W19;AF;1577;KL;2169;BIO;CDG;1;1;18:05;19:50;;;AF;318
W19;AF;1578;;;CDG;NAP;1;1;20:20;22:35;;;AF;318
W19;AF;1579;;;NAP;CDG;1;1;06:05;08:25;;;AF;318
W19;AF;1611;;;HAM;CDG;1;1;06:00;07:40;;;AF;318
W19;AF;1614;;;CDG;ZRH;1;1;13:10;14:25;;;AF;318
W19;AF;1615;;;ZRH;CDG;1;1;15:20;16:40;;;AF;318
W19;AF;1662;;;LYS;BOD;1;1;15:55;17:00;;;AF;318
W19;AF;1742;KL;3237;CDG;GVA;1;1;11:05;12:15;;;AF;318
W19;AF;1743;;;GVA;CDG;1;1;13:00;14:15;;;AF;318
W19;AF;1750;;;CDG;CPH;1;1;07:10;09:05;;;AF;318
W19;AF;1751;;;CPH;CDG;1;1;09:50;11:50;;;AF;318
W19;AF;1830;;;CDG;MXP;1;1;08:30;09:55;;;AF;318
W19;AF;1831;;;MXP;CDG;1;1;10:40;12:10;;;AF;318
W19;AF;1842;;;CDG;GVA;1;1;10:00;11:15;;;AF;318
W19;AF;1843;;;GVA;CDG;1;1;12:05;13:20;;;AF;318
W19;AF;6009;;;MRS;ORY;1;1;10:20;11:45;;;AF;318
W19;AF;6026;;;ORY;MRS;1;1;21:05;22:25;;;AF;318
W19;AF;6202;KL;2536;ORY;NCE;1;1;07:30;08:55;;;AF;318
W19;AF;6206;;;ORY;NCE;1;1;09:00;10:25;;;AF;318
W19;AF;6208;;;ORY;NCE;1;1;09:30;10:55;;;AF;318
W19;AF;6209;;;NCE;ORY;1;1;09:45;11:10;;;AF;318
W19;AF;6211;;;NCE;ORY;1;1;11:15;12:45;;;AF;318
W19;AF;6214;;;ORY;NCE;1;1;12:30;13:55;;;AF;318
W19;AF;6217;;;NCE;ORY;1;1;14:45;16:15;;;AF;318
W19;AF;6268;;;ORY;BOD;1;1;17:50;19:00;;;AF;318
W19;AF;6275;;;BOD;ORY;1;1;19:45;20:55;;;AF;318
W19;AF;7361;;;BES;ORY;1;1;06:50;08:10;;;AF;318
W19;AF;7453;;;PUF;ORY;1;1;15:40;17:05;;;AF;318
W19;AF;7458;;;ORY;PUF;1;1;21:40;23:00;;;AF;318
W19;AF;7460;;;ORY;PUF;1;1;13:25;14:45;;;AF;318
W19;AF;7488;;;ORY;BIQ;1;1;17:20;18:40;;;AF;318
W19;AF;7491;;;BIQ;ORY;1;1;19:25;20:50;;;AF;318
W19;AF;7506;;;ORY;TLN;1;1;12:10;13:35;;;AF;318
W19;AF;7507;;;TLN;ORY;1;1;14:20;15:50;;;AF;318
W19;AF;7538;;;ORY;MPL;1;1;17:00;18:15;;;AF;318
W19;AF;7539;;;MPL;ORY;1;1;19:00;20:25;;;AF;318
W19;AF;7555;;;MPL;ORY;1;1;07:15;08:40;;;AF;318
W19;AF;7626;;;CDG;BOD;1;1;18:25;19:40;;;AF;318
W19;AF;7633;;;BOD;CDG;1;1;20:25;21:50;;;AF;318
W19;AF;7685;KL;2323;MPL;CDG;1;1;20:45;22:15;;;AF;318
W19;AF;7686;KL;2320;CDG;MPL;1;1;18:40;20:00;;;AF;318
W19;AF;7710;;;CDG;NCE;1;1;11:45;13:20;;;AF;318
W19;AF;7713;;;NCE;CDG;1;1;14:35;16:10;;;AF;318
W19;AF;7732;KL;2338;CDG;BES;1;1;21:45;23:00;;;AF;318
W19;AF;7736;KL;2334;CDG;BES;1;1;09:20;10:35;;;AF;318
W19;AF;7739;KL;2337;BES;CDG;1;1;11:20;12:40;;;AF;318
W19;AF;1029;;;BLQ;CDG;2;2;07:00;08:50;;;AF;318
W19;AF;1048;;;CDG;BCN;2;2;17:00;18:40;;;AF;318
W19;AF;1049;KL;3161;BCN;CDG;2;2;19:35;21:35;;;AF;318
W19;AF;1050;KL;3165;CDG;CPH;2;2;17:40;19:35;;;AF;318
W19;AF;1051;;;CPH;CDG;2;2;20:20;22:20;;;AF;318
W19;AF;1064;KL;8348;CDG;BHX;2;2;13:40;14:00;;;AF;318
