point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,NANTES-ATLANTIQUE,47.15972,-1.61,65.83,371.545,89728.1,44.59
PARIS-ORLY,48.71972,2.37972,MARSEILLE-PROVENCE,43.43972,5.20972,80.43,626.944,151407.0,75.23
PARIS-ORLY,48.71972,2.37972,TOULOUSE-BLAGNAC,43.63,1.37,78.12,571.879,138108.8,68.63
NICE-COTE-D'AZUR,43.67,7.20972,PARIS-ORLY,48.71972,2.37972,87.49,673.845,162733.6,80.86
PARIS-ORLY,48.71972,2.37972,BORDEAUX-MERIGNAC,44.82972,-0.71972,71.06,493.196,119106.8,59.18
BREST-BRETAGNE,48.45,-4.41972,PARIS-ORLY,48.71972,2.37972,73.12,501.425,121094.1,60.17
PARIS-ORLY,48.71972,2.37972,PAU-PYRENEES,43.38,-0.42,82.99,632.417,152728.7,75.89
PARIS-ORLY,48.71972,2.37972,BIARRITZ-BAYONNE-ANGLET,43.46972,-1.53,83.09,657.527,158792.8,78.9
PARIS-ORLY,48.71972,2.37972,HYERES-LE-PALYVESTRE,43.1,6.15,88.2,690.154,166672.2,82.82
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,TOULOUSE-BLAGNAC,43.63,1.37,85.88,605.665,146268.1,72.68
PARIS-ORLY,48.71972,2.37972,MONTPELLIER-MEDITERRANEE,43.57972,3.95972,78.44,584.963,141268.6,70.2
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,BORDEAUX-MERIGNAC,44.82972,-0.71972,78.12,527.43,127374.3,63.29
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,LYON-SAINT-EXUPERY,45.72972,5.08,69.75,411.881,99469.3,49.43
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,MARSEILLE-PROVENCE,43.43972,5.20972,87.26,652.883,157671.2,78.35
MONTPELLIER-MEDITERRANEE,43.57972,3.95972,PARIS-CHARLES-DE-GAULLE,49.00972,2.55,85.94,614.069,148297.7,73.69
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,NICE-COTE-D'AZUR,43.67,7.20972,93.03,693.626,167510.7,83.24
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,BREST-BRETAGNE,48.45,-4.41972,75.83,515.35,124457.0,61.84
NICE-COTE-D'AZUR,43.67,7.20972,BORDEAUX-MERIGNAC,44.82972,-0.71972,81.32,645.032,155775.2,77.4
MARSEILLE-PROVENCE,43.43972,5.20972,BORDEAUX-MERIGNAC,44.82972,-0.71972,65.38,498.209,120317.5,59.79
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,112.5,927.133,223902.6,111.26
NANTES-ATLANTIQUE,47.15972,-1.61,MARSEILLE-PROVENCE,43.43972,5.20972,85.19,675.309,163087.1,81.04
NICE-COTE-D'AZUR,43.67,7.20972,NANTES-ATLANTIQUE,47.15972,-1.61,95.26,790.444,190892.2,94.85
NANTES-ATLANTIQUE,47.15972,-1.61,LYON-SAINT-EXUPERY,45.72972,5.08,72.97,537.068,129701.9,64.45
LYON-SAINT-EXUPERY,45.72972,5.08,NICE-COTE-D'AZUR,43.67,7.20972,55.67,284.523,68712.3,34.14
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,BASTIA-PORETTA,42.54972,9.48,110.0,897.279,216692.9,107.67
TOULOUSE-BLAGNAC,43.63,1.37,LYON-SAINT-EXUPERY,45.72972,5.08,59.73,375.248,90622.4,45.03
PARIS-ORLY,48.71972,2.37972,PERPIGNAN-RIVESALTES,42.74,2.87,85.86,666.73,161015.3,80.01
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,FIGARI-SUD-CORSE,41.5,9.09972,115.0,980.092,236692.2,117.61
PARIS-ORLY,48.71972,2.37972,CALVI-ST-CATHERINE,42.52,8.78972,94.54,851.007,205518.2,102.12
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,PAU-PYRENEES,43.38,-0.42,92.92,667.024,161086.3,80.04
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,RENNES-ST-JACQUES,48.07,-1.72972,64.89,332.266,80242.2,39.87
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,BIARRITZ-BAYONNE-ANGLET,43.46972,-1.53,89.14,691.838,167078.9,83.02
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,LORIENT-LANN-BIHOUE,47.75972,-3.43972,75.0,464.011,112058.7,55.68
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,HYERES-LE-PALYVESTRE,43.1,6.15,100.0,714.008,172432.9,85.68
CLERMONT-FERRAND-CLERMONT-FERRAND/AUVERGNE,45.78972,3.16,PARIS-CHARLES-DE-GAULLE,49.00972,2.55,65.28,361.372,87271.3,43.36
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,CALVI-ST-CATHERINE,42.52,8.78972,110.0,869.199,209911.6,104.3
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,PERPIGNAN-RIVESALTES,42.74,2.87,87.5,698.366,168655.4,83.8
BRIVE-VALLEE-DE-DORDOGNE-,45.04111,1.48306,PARIS-ORLY,48.71972,2.37972,77.5,415.128,100253.4,49.82
AURILLAC,44.89972,2.41972,PARIS-ORLY,48.71972,2.37972,82.5,425.242,102695.9,51.03
CASTRES-MAZAMET,43.54972,2.29,PARIS-ORLY,48.71972,2.37972,70.0,575.551,138995.6,69.07
TARBES-LOURDES-PYRENEES,43.18972,0.0,PARIS-ORLY,48.71972,2.37972,85.0,642.454,155152.6,77.09
NANTES-ATLANTIQUE,47.15972,-1.61,TOULOUSE-BLAGNAC,43.63,1.37,66.79,456.696,110292.1,54.8
NANTES-ATLANTIQUE,47.15972,-1.61,STRASBOURG-ENTZHEIM,48.53972,7.62972,87.5,706.64,170653.6,84.8
NANTES-ATLANTIQUE,47.15972,-1.61,LILLE-LESQUIN,50.56,3.08972,72.5,511.396,123502.1,61.37
RENNES-ST-JACQUES,48.07,-1.72972,TOULOUSE-BLAGNAC,43.63,1.37,72.5,549.47,132697.0,65.94
RENNES-ST-JACQUES,48.07,-1.72972,MARSEILLE-PROVENCE,43.43972,5.20972,92.5,745.203,179966.5,89.42
RENNES-ST-JACQUES,48.07,-1.72972,NICE-COTE-D'AZUR,43.67,7.20972,102.5,847.644,204706.0,101.72
BORDEAUX-MERIGNAC,44.82972,-0.71972,LILLE-LESQUIN,50.56,3.08972,81.25,698.587,168708.8,83.83
TOULOUSE-BLAGNAC,43.63,1.37,MARSEILLE-PROVENCE,43.43972,5.20972,67.5,310.56,75000.2,37.27
CAEN-CARPIQUET,49.17,-0.45,MARSEILLE-PROVENCE,43.43972,5.20972,93.46,771.725,186371.6,92.61
NICE-COTE-D'AZUR,43.67,7.20972,LILLE-LESQUIN,50.56,3.08972,99.0,827.716,199893.4,99.33
LILLE-LESQUIN,50.56,3.08972,MARSEILLE-PROVENCE,43.43972,5.20972,97.5,808.692,195299.1,97.04
LILLE-LESQUIN,50.56,3.08972,TOULOUSE-BLAGNAC,43.63,1.37,95.0,782.299,188925.2,93.88
METZ-NANCY-LORRAINE,48.97972,6.25,NICE-COTE-D'AZUR,43.67,7.20972,82.05,595.635,143845.9,71.48
STRASBOURG-ENTZHEIM,48.53972,7.62972,MARSEILLE-PROVENCE,43.43972,5.20972,75.69,597.691,144342.4,71.72
STRASBOURG-ENTZHEIM,48.53972,7.62972,TOULOUSE-BLAGNAC,43.63,1.37,88.42,729.081,176073.1,87.49
STRASBOURG-ENTZHEIM,48.53972,7.62972,NICE-COTE-D'AZUR,43.67,7.20972,76.25,543.049,131146.3,65.17
POITIERS-BIARD,46.59,0.31,LYON-SAINT-EXUPERY,45.72972,5.08,70.0,379.98,91765.2,45.6
BORDEAUX-MERIGNAC,44.82972,-0.71972,LYON-SAINT-EXUPERY,45.72972,5.08,68.07,465.082,112317.3,55.81
METZ-NANCY-LORRAINE,48.97972,6.25,LYON-SAINT-EXUPERY,45.72972,5.08,62.5,372.372,89927.8,44.68
MARSEILLE-PROVENCE,43.43972,5.20972,LYON-SAINT-EXUPERY,45.72972,5.08,55.0,255.123,61612.2,30.61
LILLE-LESQUIN,50.56,3.08972,LYON-SAINT-EXUPERY,45.72972,5.08,75.0,557.588,134657.5,66.91
PAU-PYRENEES,43.38,-0.42,LYON-SAINT-EXUPERY,45.72972,5.08,75.0,508.501,122803.0,61.02
