point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,Paris (Bercy Seine),48.83532,2.38052,42.69,29.749,1740.3,2.08
Lyon Perrache (Central Bus Station),45.74875,4.82602,Grenoble (central bus station),45.19283,5.71394,95.5,104.401,6107.5,7.31
Paris (Orly Airport),48.73156,2.37358,Paris (Bercy Seine),48.83532,2.38052,31.25,15.046,880.2,1.05
Lyon Perrache (Central Bus Station),45.74875,4.82602,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,128.12,166.36,9732.1,11.65
Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,Lille,50.6392,3.0762,138.93,198.49,11611.7,13.89
Chalon-sur-Saône (Gare routière),46.78099,4.84434,Lyon Perrache (Central Bus Station),45.74875,4.82602,101.88,125.223,7325.5,8.77
Reims Champagne Ardenne TGV,49.21516,3.99451,Paris (Bercy Seine),48.83532,2.38052,108.93,143.912,8418.9,10.07
Angers (central bus station),47.46502,-0.55917,Nantes Haluchère,47.24893,-1.52081,67.86,82.957,4853.0,5.81
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Agen (Exit A62),44.16644,0.60633,84.64,110.108,6441.3,7.71
Agen (Exit A62),44.16644,0.60633,Bordeaux Saint-Jean,44.82982,-0.55521,96.43,132.837,7771.0,9.3
Marseille (central bus station St Charles),43.30408,5.37999,Toulon (Central Bus Station),43.12779,5.93074,75.0,66.598,3896.0,4.66
Metz (central bus station),49.11016,6.18377,Reims Champagne Ardenne TGV,49.21516,3.99451,151.15,195.228,11420.8,13.67
Lille,50.6392,3.0762,Paris (Bercy Seine),48.83532,2.38052,176.92,221.962,12984.8,15.54
Lyon Saint Exupéry Airport,45.7185,5.07898,Lyon Perrache (Central Bus Station),45.74875,4.82602,44.17,28.722,1680.2,2.01
Paris (Bercy Seine),48.83532,2.38052,Paris La Défense (Terminal Jules Verne),48.89147,2.24247,41.54,12.732,744.8,0.89
Nîmes (P+R Parnasse),43.81743,4.36218,Montpellier (Sabines),43.58393,3.86023,53.89,53.173,3110.6,3.72
Nice Airport (Bus Station - Terminal 2),43.66021,7.20486,Cannes (Le Cannet),43.5707,7.01485,30.5,25.338,1482.3,1.77
Mulhouse (bus station),47.74208,7.34194,Belfort,47.6297,6.85617,45.0,46.792,2737.3,3.28
