point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
Gare de Cormery,47.26235,0.83382,Cormery-Pl-du-Croissant,47.26861,0.83527,1.95,0.705,7.6,0.06
Cormery-Pl-du-Croissant,47.26861,0.83527,Truyes-Chapelle,47.27528,0.83055,1.96,0.824,8.9,0.07
Gare de Loches,47.1304,1.00097,Loches-St-Jacques,47.13755,0.99982,2.11,0.801,8.7,0.07
Chambourg-Chopin,47.18221,0.96805,Azay-Rivieres,47.20921,0.94616,3.86,3.431,37.1,0.31
Chambray-CHR-Trousseau,47.34777,0.71,Gare de Tours,47.38981,0.69351,15.28,4.842,52.3,0.44
Clion-sur-Indre,46.9452,1.23872,Chatillon-Hôtel,46.98337,1.17501,6.1,6.44,69.6,0.58
Chatillon-Hôtel,46.98337,1.17501,Chatillon-Mail,46.98838,1.1718,1.98,0.609,6.6,0.05
Buzançais,46.88486,1.41841,St-Genou-ZI,46.9052,1.35436,5.52,5.373,58.0,0.48
Loches-St-Jacques,47.13755,0.99982,Chambourg-Chopin,47.18221,0.96805,7.71,5.522,59.6,0.5
Ste-Marie-/-Mines-Maire,48.24557,7.18224,Ste-Marie-/-Ms-Pl-.CdG,48.24363,7.17639,1.0,0.484,5.2,0.04
Gare de Toulouse-Matabiau,43.61146,1.45356,Gare de Montauban-Ville-Bourbon,44.01464,1.34197,29.03,45.767,494.3,4.12
Moyen,48.48343,6.56643,Gerbéviller (Rue Gambet,48.50022,6.51238,5.04,4.404,47.6,0.4
Chatillon-Mail,46.98838,1.1718,Flere-La-Rivière-Mairie,47.02083,1.10722,5.76,6.089,65.8,0.55
Flere-La-Rivière-Mairie,47.02083,1.10722,Bridoré-Carrefour-943,47.03305,1.09555,2.06,1.623,17.5,0.15
Bridoré-Carrefour-943,47.03305,1.09555,Bridore-St-Martin,47.05963,1.08385,2.94,3.089,33.4,0.28
Châteauroux Gare Rout.,46.80965,1.69869,Châteauroux-Préfecture,46.81074,1.68683,3.0,0.912,9.8,0.08
Châteauroux-Préfecture,46.81074,1.68683,Châteauroux-Crx-Perrine,46.81716,1.6832,2.0,0.766,8.3,0.07
Villedieu-8-mai-1945,46.84746,1.53881,Buzançais,46.88486,1.41841,13.38,10.065,108.7,0.91
Ramberv. Ancienne Gare,48.34063,6.63485,Rambervillers Pl Verdun,48.34703,6.63575,1.5,0.716,7.7,0.06
Rambervillers Pl Verdun,48.34703,6.63575,Rambervillers (Lunev.),48.352,6.63179,1.92,0.626,6.8,0.06
St-Pierremont,48.4375,6.57638,Magnières,48.44563,6.56594,2.0,1.189,12.8,0.11
Magnières,48.44563,6.56594,Magnières (Lotissement),48.44956,6.56369,1.22,0.468,5.1,0.04
Gerbeviller-Foch,48.50222,6.5103,Xermaménil,48.53324,6.46125,4.96,5.0,54.0,0.45
Rehainviller Centre,48.5626,6.47,Gare de Lunéville,48.58799,6.49703,5.96,3.457,37.3,0.31
Loches-Agnès-Sorel,47.12533,0.99352,Gare de Loches,47.1304,1.00097,2.88,0.798,8.6,0.07
Berthelming-Mairie,48.81624,7.00666,Romelfing-Rue-Europe,48.83193,7.02069,1.48,2.027,21.9,0.18
Romelfing-Rue-Europe,48.83193,7.02069,Fénétrange (Gendarm.),48.84429,7.01986,1.95,1.377,14.9,0.12
Azay-Rivieres,47.20921,0.94616,Reignac-Bourg-Du-Fau,47.22718,0.9154,3.23,3.068,33.1,0.28
Courcay-Rouvre,47.23789,0.86644,Gare de Cormery,47.26235,0.83382,5.04,3.673,39.7,0.33
Gare de Cahors,44.44916,1.43324,Gare de Gourdon,44.7419,1.38928,26.48,32.773,353.9,2.95
Gare de Gourdon,44.7419,1.38928,Gare de Souillac,44.90234,1.46521,15.57,18.839,203.5,1.7
Bridore-St-Martin,47.05963,1.08385,Verneuil-Laiterie,47.07647,1.05829,2.0,2.696,29.1,0.24
Verneuil-Laiterie,47.07647,1.05829,St-Jean-St-Germain-Hote,47.08265,1.03585,1.0,1.835,19.8,0.17
St-Jean-St-Germain-Hote,47.08265,1.03585,Perrusson,47.10118,1.01402,3.2,2.644,28.6,0.24
Mirecourt (Lycée Agric),48.2936,6.13211,Mirecourt,48.29923,6.12935,2.64,0.659,7.1,0.06
Sarraltroff-Gare-SNCF,48.77007,7.06577,Sarraltroff (Mairie),48.77306,7.06199,1.0,0.433,4.7,0.04
Oberstinzel-Rue-Princip,48.79286,7.03467,Bettborn-Grand-Rue,48.80133,7.02067,2.1,1.394,15.1,0.13
Bettborn-Grand-Rue,48.80133,7.02067,Berthelming-Principale,48.81863,7.00888,1.95,2.111,22.8,0.19
Berthelming-Principale,48.81863,7.00888,Berthelming-Mairie,48.81624,7.00666,1.35,0.312,3.4,0.03
Truyes-Chapelle,47.27528,0.83055,Chambray-CHR-Trousseau,47.34777,0.71,14.7,12.161,131.3,1.09
Ste-Marie-/-Ms-S.Techni,48.25224,7.19501,Ste-Marie-/-Ms-(Musées),48.24888,7.18833,1.0,0.621,6.7,0.06
Ste-Marie-/-Ms-(Musées),48.24888,7.18833,Ste-Marie-/-Mines-Maire,48.24557,7.18224,1.92,0.583,6.3,0.05
Gare de Limoges-Bénédictins,45.83621,1.26745,Gare de La Souterraine,46.23975,1.49223,29.82,48.162,520.1,4.33
Gare de Aubrais-(les),47.92692,1.90608,Gare de Paris-Austerlitz,48.84165,2.36604,70.86,107.352,1159.4,9.66
Gare de Carcassonne,43.21771,2.35188,Gare de Narbonne,43.19103,3.00596,28.12,53.156,574.1,4.78
Gare de Montpellier-Saint-Roch,43.60583,3.88236,Gare de Nîmes,43.83229,4.36584,25.35,46.352,500.6,4.17
Châteauroux-Crx-Perrine,46.81716,1.6832,Surins-Carref-RN143,46.82916,1.56443,13.0,9.145,98.8,0.82
Sarralbe Centre,49.00184,7.02975,Herbitzheim MSP,49.0129,7.08151,7.0,3.975,42.9,0.36
Sarraltroff (Mairie),48.77306,7.06199,Sarraltroff-Fénétrange,48.77715,7.05652,1.0,0.607,6.6,0.05
Sarraltroff-Fénétrange,48.77715,7.05652,Oberstinzel-Rue-Princip,48.79286,7.03467,3.07,2.372,25.6,0.21
Reignac-Bourg-Du-Fau,47.22718,0.9154,Gare de Reignac,47.21779,0.90129,3.2,1.493,16.1,0.13
Gare de Reignac,47.21779,0.90129,Courcay-Rouvre,47.23789,0.86644,4.0,3.456,37.3,0.31
Gare de Vierzon,47.22652,2.05982,Gare de Paris-Austerlitz,48.84165,2.36604,93.0,181.23,1957.3,16.31
Gare de Cognac,45.68445,-0.32616,Gare de Saintes,45.74784,-0.61758,35.45,23.724,256.2,2.14
Rambervillers (11 Nov),48.33319,6.63667,Ramberv. Ancienne Gare,48.34063,6.63485,1.43,0.839,9.1,0.08
Perrusson,47.10118,1.01402,Loches-Agnès-Sorel,47.12533,0.99352,10.19,3.105,33.5,0.28
Surins-Carref-RN143,46.82916,1.56443,Villedieu-8-mai-1945,46.84746,1.53881,2.73,2.821,30.5,0.25
Keskastel,48.96541,7.04884,Sarralbe Centre,49.00184,7.02975,8.0,4.288,46.3,0.39
Bouxwiller-Clos-des-S.,48.82821,7.48666,Bouxwiller-Centre-Ville,48.82747,7.48291,1.95,0.287,3.1,0.03
Bouxwiller-Centre-Ville,48.82747,7.48291,Bouxwiller-Schattenmann,48.8264,7.47893,1.95,0.315,3.4,0.03
Bouxwiller-Schattenmann,48.8264,7.47893,Neuwiller-R.-Bouxwiller,48.82291,7.40707,8.0,5.281,57.0,0.48
Neuwiller-R.-Bouxwiller,48.82291,7.40707,Neuwiller-(Pharmacie),48.82348,7.40269,1.22,0.327,3.5,0.03
Neuwiller-(Pharmacie),48.82348,7.40269,Dossenheim-Lotissement,48.80752,7.40216,2.72,1.777,19.2,0.16
Dossenheim-Lotissement,48.80752,7.40216,Dossenheim-(Mairie),48.80522,7.40244,1.06,0.257,2.8,0.02
Ste-Marie/-Ms-(-Théâtre,48.24361,7.18083,Ste-Marie-/-Ms-(-Super-,48.24863,7.18918,2.0,0.834,9.0,0.08
Gare de Brive-la-Gaillarde,45.15256,1.52862,Gare de Uzerche,45.44062,1.57023,25.19,32.231,348.1,2.9
Gare de Uzerche,45.44062,1.57023,Gare de Limoges-Bénédictins,45.83621,1.26745,36.81,49.945,539.4,4.5
Gare de Souillac,44.90234,1.46521,Gare de Brive-la-Gaillarde,45.15256,1.52862,24.41,28.297,305.6,2.55
Gare de Gap,44.56369,6.08568,Gare de Veynes-Dévoluy,44.532,5.81583,29.26,21.696,234.3,1.95
Gare de Clelles-Mens,44.82725,5.60501,Gare de Monestier-de-Clermont,44.91202,5.63395,16.2,9.709,104.9,0.87
Bourges-Gare-Routière,47.08281,2.38689,Gare de Bourges,47.09409,2.39423,6.88,1.373,14.8,0.12
