point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
Gare de Agde,43.31757,3.46602,Gare de Béziers,43.33623,3.21922,14.5,20.077,64.2,2.21
Gare de Agde,43.31757,3.46602,Gare de Sète,43.41281,3.6964,15.5,21.43,68.6,2.36
Gare de Agen,44.20797,0.6209,Gare de Bordeaux-St-Jean,44.82654,-0.55619,75.6,115.97,371.1,12.76
Gare de Agen,44.20797,0.6209,Gare de Montauban-Ville-Bourbon,44.01464,1.34197,40.0,61.47,196.7,6.76
Gare de Agen,44.20797,0.6209,Gare de Toulouse-Matabiau,43.61146,1.45356,62.0,94.096,301.1,10.35
Gare de Aime-la-Plagne,45.55437,6.64888,Gare de Bourg-St-Maurice,45.61852,6.77148,15.0,11.916,38.1,1.31
Gare de Aime-la-Plagne,45.55437,6.64888,Gare de Landry,45.57421,6.73387,13.0,6.976,22.3,0.77
Gare de Aime-la-Plagne,45.55437,6.64888,Gare de Moûtiers-Salins-Brides,45.48648,6.53138,21.18,11.869,38.0,1.31
Gare de Aix-en-Provence-TGV,43.45515,5.31726,Gare de Avignon-TGV,43.92196,4.78615,22.0,67.237,215.2,7.4
Gare de Aix-en-Provence-TGV,43.45515,5.31726,Gare de Lyon-Part-Dieu,45.76059,4.85944,88.0,258.982,828.7,28.49
Gare de Aix-en-Provence-TGV,43.45515,5.31726,Gare de Lyon-Saint-Exupery-Tgv,45.72093,5.07583,72.25,252.746,808.8,27.8
Gare de Aix-en-Provence-TGV,43.45515,5.31726,Gare de Marseille-St-Charles,43.30273,5.38065,19.56,17.711,56.7,1.95
Gare de Aix-en-Provence-TGV,43.45515,5.31726,Gare de Toulon,43.12832,5.92946,52.5,61.467,196.7,6.76
Gare de Aix-les-Bains-le-Revard,45.68786,5.90935,Gare de Albertville,45.67318,6.38324,52.0,36.863,118.0,4.05
Gare de Aix-les-Bains-le-Revard,45.68786,5.90935,Gare de Annecy,45.90206,6.12182,33.0,28.968,92.7,3.19
Gare de Aix-les-Bains-le-Revard,45.68786,5.90935,Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,15.6,13.02,41.7,1.43
Gare de Aix-les-Bains-le-Revard,45.68786,5.90935,Gare de Grenoble,45.19146,5.71453,73.0,57.27,183.3,6.3
Gare de Aix-les-Bains-le-Revard,45.68786,5.90935,Gare de Mâcon-Loché-TGV,46.2829,4.77895,91.38,109.603,350.7,12.06
Gare de Aix-les-Bains-le-Revard,45.68786,5.90935,Gare de Paris-Gare-de-Lyon,48.84492,2.37346,190.33,440.962,1411.1,48.51
Gare de Albertville,45.67318,6.38324,Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,42.16,37.8,121.0,4.16
Gare de Albertville,45.67318,6.38324,Gare de Grenoble,45.19146,5.71453,80.0,74.802,239.4,8.23
Gare de Albertville,45.67318,6.38324,Gare de Moûtiers-Salins-Brides,45.48648,6.53138,39.33,23.755,76.0,2.61
Gare de Albertville,45.67318,6.38324,Gare de Mâcon-Loché-TGV,46.2829,4.77895,146.67,141.337,452.3,15.55
Gare de Albertville,45.67318,6.38324,Gare de Paris-Gare-de-Lyon,48.84492,2.37346,238.7,464.717,1487.1,51.12
Gare de Ancenis,47.36946,-1.17761,Gare de Angers-St-Laud,47.46443,-0.55695,25.0,47.893,153.3,5.27
Gare de Ancenis,47.36946,-1.17761,Gare de Nantes,47.2175,-1.54193,20.0,32.265,103.2,3.55
Gare de Angers-St-Laud,47.46443,-0.55695,Gare de Le Mans,47.99558,0.19214,46.25,81.432,260.6,8.96
Gare de Angers-St-Laud,47.46443,-0.55695,Gare de Massy-TGV,48.72603,2.26157,91.5,252.034,806.5,27.72
Gare de Angers-St-Laud,47.46443,-0.55695,Gare de Nantes,47.2175,-1.54193,43.08,79.158,253.3,8.71
Gare de Angers-St-Laud,47.46443,-0.55695,Gare de Paris-Montparnasse 1-2,48.84063,2.31989,88.4,262.66,840.5,28.89
Gare de Angers-St-Laud,47.46443,-0.55695,Gare de Sablé-sur-Sarthe,47.84172,-0.34205,22.0,44.948,143.8,4.94
