point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
Gare de Bordeaux-St-Jean,44.82654,-0.55619,Gare de Cenon,44.85677,-0.5336,4.46,3.808,113.1,0.3
Gare de Mouchard,46.97681,5.79972,Gare de Arc-et-Senans,47.03046,5.77693,5.28,6.218,184.7,0.5
Gare de Laroche-Migennes,47.96085,3.51294,Gare de Joigny,47.97383,3.39296,7.93,9.058,269.0,0.72
Gare de Entzheim-Aéroport,48.547,7.62795,Gare de Molsheim,48.53752,7.50021,7.57,9.473,281.3,0.76
Gare de Montmélian,45.50307,6.04312,Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,12.36,12.235,363.4,0.98
Gare de Cormery,47.26235,0.83382,Cormery-Pl-du-Croissant,47.26861,0.83527,1.95,0.705,20.9,0.06
Gare de St-Agne,43.57926,1.44956,Gare de Toulouse-Matabiau,43.61146,1.45356,4.64,3.599,106.9,0.29
Gare de Lyon-Perrache,45.74879,4.82594,Gare de Lyon-Part-Dieu,45.76059,4.85944,8.08,2.915,86.6,0.23
Gare de Argentan,48.73846,-0.02572,Gare de Surdon,48.6649,0.13413,8.96,14.317,425.2,1.15
Gare de Cenon,44.85677,-0.5336,Gare de Libourne,44.91588,-0.23637,19.58,24.348,723.1,1.95
Gare de Tours,47.38981,0.69351,Gare de St-Pierre-des-Corps,47.38573,0.72505,5.24,2.42,71.9,0.19
Gare de Aix-les-Bains-le-Revard,45.68786,5.90935,Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,14.84,13.029,387.0,1.04
Gare de Arbois (Jura),46.91242,5.76477,Gare de Mouchard,46.97681,5.79972,7.93,7.644,227.0,0.61
Gare de Frontignan,43.44459,3.75901,Gare de Sète,43.41281,3.6964,4.95,6.175,183.4,0.49
Gare de Bourg-en-Bresse,46.20013,5.21497,Gare de St-Amour,46.43368,5.33454,17.05,27.576,819.0,2.21
Gare de Strasbourg,48.58517,7.73397,Gare de Entzheim-Aéroport,48.547,7.62795,9.44,8.891,264.1,0.71
Gare de Poligny,46.84417,5.70032,Gare de Arbois (Jura),46.91242,5.76477,8.62,9.043,268.6,0.72
Gare de Lyon-Part-Dieu,45.76059,4.85944,Gare de Ambérieu-en-Bugey,45.95401,5.34231,24.38,43.185,1282.6,3.45
